_id,name,tags
649d70292abb045a8a87dd4c,safari,"['Wildlife', 'Adventure', 'Exploration', 'Nature', 'Wildlife Conservation']"
649d70292abb045a8a87dd4d,art,"['Creativity', 'Visual Arts', 'Painting', 'Sculpture', 'Contemporary']"
649d70292abb045a8a87dd51,food,"['Cuisine', 'Cooking', 'Gastronomy', 'Recipes', 'Dining']"
649d70292abb045a8a87dd52,history,"['Heritage', 'Ancient', 'Historical Events', 'Archaeology']"
649d70292abb045a8a87dd53,nature,"['Wilderness', 'Biodiversity', 'Ecosystem', 'Hiking', 'Environmental']"
649d70292abb045a8a87dd54,outdoors,"['Adventure', 'Camping', 'Hiking', 'Recreation', 'Nature']"
649d70292abb045a8a87dd55,sports,"['Athletics', 'Competition', 'Fitness', 'Team Sports']"
649d70292abb045a8a87dd4e,culture,"['Tradition', 'Heritage', 'Diversity', 'Folklore']"
649d70292abb045a8a87dd4f,drinks,"['Beverages', 'Cocktails', 'Coffee', 'Tea']"
649d70292abb045a8a87dd50,entertainment,"['Fun', 'Movies', 'Music', 'Events']"
649d70292abb045a8a87dd56,wellness,"['Health', 'Fitness', 'Meditation']"