_id,name,icon,description,adventureLevel
64ae8f3995b15f2ab76b8379,Urban Explorer,ğŸ™ï¸,"Youre drawn to the excitement of bustling cities, eager to explore their vibrant culture and modern marvels.",5
64ae8f3995b15f2ab76b8375,Foodie,ğŸ½ï¸,You live for a good meal at any time!,4
64ae8f3995b15f2ab76b8385,Film Enthusiast,ğŸ¥,"You appreciate the art of cinema, seeking movie screenings, film festivals, and behind-the-scenes experiences.",4
64ae8f3995b15f2ab76b8386,Sports Fanatic,âš½,"You live and breathe sports, cheering for your favorite teams and attending sporting events whenever possible.",4
64ae8f3995b15f2ab76b8376,Beach Lover,ğŸ–ï¸,Youre at your happiest when your toes are in the sand and the ocean breeze is in your hair.,6
64ae8f3995b15f2ab76b837b,Cultural Enthusiast,ğŸ­,"You immerse yourself in diverse cultures, appreciating art, music, and traditions from around the world.",3
64ae8f3995b15f2ab76b837d,Backpacker,ğŸ’,"Youre always ready for a journey, exploring new destinations and embracing the backpacking lifestyle.",10
64ae8f3995b15f2ab76b837f,Sun Chaser,â˜€ï¸,"You thrive under the suns warmth, seeking endless summer vibes and outdoor adventures.",5
64ae8f3995b15f2ab76b8380,Winter Soldier,â›„,"You love the magic of winter, embracing snow-covered landscapes and enjoying cozy winter activities.",6
64ae8f3995b15f2ab76b8383,Wellness Seeker,ğŸ§˜,"You prioritize self-care and seek experiences that promote relaxation, rejuvenation, and overall well-being.",3
64ae8f3995b15f2ab76b8388,Photography Enthusiast,ğŸ“·,You have a keen eye for capturing moments and seek experiences that provide stunning photography opportunities.,6
64ae8f3995b15f2ab76b8378,Nature Enthusiast,ğŸŒ¿,"You find solace in the great outdoors, seeking adventures in forests, mountains, and natural wonders.",7
64ae8f3995b15f2ab76b837a,Fashion Connoisseur,ğŸ‘—,Your impeccable sense of style and love for fashion trends make you a true trendsetter.,3
64ae8f3995b15f2ab76b837c,Thrill Seeker,ğŸ¢,"You have an adventurous spirit, seeking adrenaline-pumping experiences and pushing your limits.",10
64ae8f3995b15f2ab76b8381,Tech Geek,ğŸ¤“,Youre passionate about technology and enjoy exploring the latest innovations and geek culture.,1
64ae8f3995b15f2ab76b8377,Night Explorer,ğŸŒƒ,"The night is your playground, and you thrive on discovering the vibrant nightlife of cities.",7
64ae8f3995b15f2ab76b837e,Business Professional,ğŸ’¼,Youre driven by success and constantly seeking networking opportunities and business-related experiences.,2
64ae8f3995b15f2ab76b8382,Art Aficionado,ğŸ¨,"You appreciate and seek out artistic expressions, from paintings and sculptures to performances and installations.",2
64ae8f3995b15f2ab76b8384,Music Lover,ğŸµ,"You have a deep passion for music, seeking concerts and festivals to enjoy a wide range of genres and performances.",3
64ae8f3995b15f2ab76b8387,Romantic at Heart,ğŸ’‘,"You adore romance and seek experiences that celebrate love, from intimate dinners to romantic getaways.",8